time_ns,n,split,node1_consumers,node2_consumers
198979318,10000,1000,1,1
102554153,10000,1000,1,1
76966834,10000,1000,1,1
30498088,10000,1000,1,1
16342124,10000,1000,1,1
13743049,10000,1000,1,1
130157492,10000,1000,1,1
110921409,10000,1000,1,1
39630777,10000,1000,1,1
23898156,10000,1000,1,1
15411289,10000,1000,1,1
12798002,10000,1000,1,1
111543940,10000,1000,2,2
72349368,10000,1000,2,2
52760768,10000,1000,2,2
28558255,10000,1000,2,2
14628487,10000,1000,2,2
15119959,10000,1000,2,2
203022412,30000,1000,1,1
113085069,30000,1000,1,1
81838128,30000,1000,1,1
50428942,30000,1000,1,1
38706652,30000,1000,1,1
28821952,30000,1000,1,1
269007914,30000,1000,1,1
124222330,30000,1000,1,1
74745146,30000,1000,1,1
60546153,30000,1000,1,1
35923225,30000,1000,1,1
19806506,30000,1000,1,1
515741305,30000,1000,2,2
87055623,30000,1000,2,2
75654664,30000,1000,2,2
60456149,30000,1000,2,2
35285298,30000,1000,2,2
21014855,30000,1000,2,2
527469911,90000,1000,1,1
176439124,90000,1000,1,1
88932294,90000,1000,1,1
64618855,90000,1000,1,1
47732362,90000,1000,1,1
28728000,90000,1000,1,1
457892127,90000,1000,1,1
197515956,90000,1000,1,1
107717566,90000,1000,1,1
76486810,90000,1000,1,1
54231630,90000,1000,1,1
33397573,90000,1000,1,1
359717402,90000,1000,2,2
117243037,90000,1000,2,2
72362790,90000,1000,2,2
45796476,90000,1000,2,2
26571052,90000,1000,2,2
17160455,90000,1000,2,2
990325311,270000,1000,1,1
185299036,270000,1000,1,1
118190453,270000,1000,1,1
66398022,270000,1000,1,1
57875626,270000,1000,1,1
30457822,270000,1000,1,1
1226313828,270000,1000,1,1
168245165,270000,1000,1,1
109347910,270000,1000,1,1
68322854,270000,1000,1,1
43308722,270000,1000,1,1
27056996,270000,1000,1,1
1348409605,270000,1000,2,2
114617513,270000,1000,2,2
78389142,270000,1000,2,2
54747183,270000,1000,2,2
32930972,270000,1000,2,2
27979937,270000,1000,2,2
70520067,10000,2500,1,1
42383018,10000,2500,1,1
30633489,10000,2500,1,1
18664081,10000,2500,1,1
14422029,10000,2500,1,1
10486308,10000,2500,1,1
93268694,10000,2500,1,1
41886809,10000,2500,1,1
30917319,10000,2500,1,1
14521903,10000,2500,1,1
10412489,10000,2500,1,1
10268008,10000,2500,1,1
53603573,10000,2500,2,2
40216990,10000,2500,2,2
29941876,10000,2500,2,2
16763329,10000,2500,2,2
13444613,10000,2500,2,2
11302269,10000,2500,2,2
183995156,30000,2500,1,1
101820301,30000,2500,1,1
60497599,30000,2500,1,1
33260593,30000,2500,1,1
22166755,30000,2500,1,1
14871262,30000,2500,1,1
158673508,30000,2500,1,1
81312312,30000,2500,1,1
61647129,30000,2500,1,1
31344840,30000,2500,1,1
21182627,30000,2500,1,1
12951562,30000,2500,1,1
114355395,30000,2500,2,2
66283148,30000,2500,2,2
41297832,30000,2500,2,2
26958308,30000,2500,2,2
14296496,30000,2500,2,2
13409874,30000,2500,2,2
335385408,90000,2500,1,1
114464347,90000,2500,1,1
73603115,90000,2500,1,1
53220659,90000,2500,1,1
27846510,90000,2500,1,1
17960231,90000,2500,1,1
367304225,90000,2500,1,1
154572384,90000,2500,1,1
93490941,90000,2500,1,1
43923357,90000,2500,1,1
27423725,90000,2500,1,1
17852857,90000,2500,1,1
290509504,90000,2500,2,2
87345769,90000,2500,2,2
62764289,90000,2500,2,2
37161970,90000,2500,2,2
31113119,90000,2500,2,2
22299392,90000,2500,2,2
902542152,270000,2500,1,1
131000692,270000,2500,1,1
83494525,270000,2500,1,1
52761558,270000,2500,1,1
35109237,270000,2500,1,1
20100600,270000,2500,1,1
778402721,270000,2500,1,1
138816473,270000,2500,1,1
109647925,270000,2500,1,1
53538043,270000,2500,1,1
31601037,270000,2500,1,1
22724940,270000,2500,1,1
672195098,270000,2500,2,2
165658722,270000,2500,2,2
97781943,270000,2500,2,2
57346653,270000,2500,2,2
33992866,270000,2500,2,2
21458562,270000,2500,2,2
30861263,10000,7500,1,1
27983884,10000,7500,1,1
10490256,10000,7500,1,1
8774645,10000,7500,1,1
7072060,10000,7500,1,1
5484745,10000,7500,1,1
31541429,10000,7500,1,1
29802922,10000,7500,1,1
15044166,10000,7500,1,1
8107507,10000,7500,1,1
6346893,10000,7500,1,1
4448114,10000,7500,1,1
43270430,10000,7500,2,2
31874998,10000,7500,2,2
20868006,10000,7500,2,2
12827214,10000,7500,2,2
9679821,10000,7500,2,2
7173513,10000,7500,2,2
133951890,30000,7500,1,1
72763468,30000,7500,1,1
49310597,30000,7500,1,1
31098907,30000,7500,1,1
19200160,30000,7500,1,1
12744709,30000,7500,1,1
134011894,30000,7500,1,1
70782975,30000,7500,1,1
44055206,30000,7500,1,1
28787213,30000,7500,1,1
19757951,30000,7500,1,1
14012667,30000,7500,1,1
106646197,30000,7500,2,2
51351094,30000,7500,2,2
31309707,30000,7500,2,2
28015070,30000,7500,2,2
20265214,30000,7500,2,2
14114514,30000,7500,2,2
370803740,90000,7500,1,1
128778213,90000,7500,1,1
63167731,90000,7500,1,1
39126672,90000,7500,1,1
25268355,90000,7500,1,1
18266561,90000,7500,1,1
296396111,90000,7500,1,1
121247446,90000,7500,1,1
62033990,90000,7500,1,1
40912550,90000,7500,1,1
24335151,90000,7500,1,1
16933469,90000,7500,1,1
280321237,90000,7500,2,2
131683225,90000,7500,2,2
75385440,90000,7500,2,2
48894130,90000,7500,2,2
34871989,90000,7500,2,2
21263947,90000,7500,2,2
748709541,270000,7500,1,1
130411321,270000,7500,1,1
87106151,270000,7500,1,1
49312966,270000,7500,1,1
33397178,270000,7500,1,1
20140075,270000,7500,1,1
706132698,270000,7500,1,1
118764033,270000,7500,1,1
68537206,270000,7500,1,1
87738156,270000,7500,1,1
34571973,270000,7500,1,1
19164237,270000,7500,1,1
611278664,270000,7500,2,2
116676167,270000,7500,2,2
53586599,270000,7500,2,2
32514503,270000,7500,2,2
29752393,270000,7500,2,2
21856476,270000,7500,2,2
71191943,10000,12500,1,1
30029118,10000,12500,1,1
19391618,10000,12500,1,1
13221180,10000,12500,1,1
9473758,10000,12500,1,1
7195224,10000,12500,1,1
76299301,10000,12500,1,1
28725632,10000,12500,1,1
19700712,10000,12500,1,1
13207759,10000,12500,1,1
9785616,10000,12500,1,1
7297861,10000,12500,1,1
46617569,10000,12500,2,2
28865770,10000,12500,2,2
18467493,10000,12500,2,2
13757654,10000,12500,2,2
9475337,10000,12500,2,2
7059429,10000,12500,2,2
150354413,30000,12500,1,1
112461748,30000,12500,1,1
63639070,30000,12500,1,1
28935642,30000,12500,1,1
17973257,30000,12500,1,1
12812212,30000,12500,1,1
131755072,30000,12500,1,1
73730226,30000,12500,1,1
43667555,30000,12500,1,1
27750583,30000,12500,1,1
19211213,30000,12500,1,1
12133627,30000,12500,1,1
101054868,30000,12500,2,2
51387411,30000,12500,2,2
44515887,30000,12500,2,2
28990514,30000,12500,2,2
19085681,30000,12500,2,2
13527117,30000,12500,2,2
298726753,90000,12500,1,1
115725199,90000,12500,1,1
82147222,90000,12500,1,1
41862729,90000,12500,1,1
28082573,90000,12500,1,1
17144664,90000,12500,1,1
297032459,90000,12500,1,1
97231652,90000,12500,1,1
60969727,90000,12500,1,1
38752049,90000,12500,1,1
25107294,90000,12500,1,1
16145141,90000,12500,1,1
230487192,90000,12500,2,2
71543276,90000,12500,2,2
44086391,90000,12500,2,2
38751654,90000,12500,2,2
26403675,90000,12500,2,2
17001762,90000,12500,2,2
711444146,270000,12500,1,1
120381351,270000,12500,1,1
70632179,270000,12500,1,1
51378332,270000,12500,1,1
34072607,270000,12500,1,1
21376847,270000,12500,1,1
760327617,270000,12500,1,1
113853265,270000,12500,1,1
70016753,270000,12500,1,1
47331289,270000,12500,1,1
32017505,270000,12500,1,1
22493613,270000,12500,1,1
653055335,270000,12500,2,2
79230762,270000,12500,2,2
51145030,270000,12500,2,2
45292373,270000,12500,2,2
30865606,270000,12500,2,2
19568074,270000,12500,2,2
