time_ns,n,split,node1_consumers,node2_consumers
115564533,10000,1000,1,1
47692491,10000,1000,1,1
40046455,10000,1000,1,1
25832857,10000,1000,1,1
12382323,10000,1000,1,1
10646184,10000,1000,1,1
61061310,10000,1000,1,1
38885871,10000,1000,1,1
25459812,10000,1000,1,1
16296332,10000,1000,1,1
9611133,10000,1000,1,1
6939422,10000,1000,1,1
62757973,10000,1000,2,2
36799979,10000,1000,2,2
27046338,10000,1000,2,2
16223697,10000,1000,2,2
9448889,10000,1000,2,2
9973520,10000,1000,2,2
635384461,30000,1000,1,1
85563049,30000,1000,1,1
52169818,30000,1000,1,1
34353278,30000,1000,1,1
21953191,30000,1000,1,1
13971218,30000,1000,1,1
149315019,30000,1000,1,1
78369798,30000,1000,1,1
51493600,30000,1000,1,1
35871116,30000,1000,1,1
22012010,30000,1000,1,1
13713442,30000,1000,1,1
127718292,30000,1000,2,2
58470525,30000,1000,2,2
39881447,30000,1000,2,2
26775535,30000,1000,2,2
17327041,30000,1000,2,2
12036516,30000,1000,2,2
338402926,90000,1000,1,1
113749049,90000,1000,1,1
71987377,90000,1000,1,1
45893981,90000,1000,1,1
30860474,90000,1000,1,1
20343375,90000,1000,1,1
316321834,90000,1000,1,1
117459364,90000,1000,1,1
74642903,90000,1000,1,1
46625465,90000,1000,1,1
30732179,90000,1000,1,1
20800108,90000,1000,1,1
268000495,90000,1000,2,2
91973103,90000,1000,2,2
53234476,90000,1000,2,2
36857218,90000,1000,2,2
24785568,90000,1000,2,2
16073690,90000,1000,2,2
884771010,270000,1000,1,1
137835503,270000,1000,1,1
81430344,270000,1000,1,1
53150787,270000,1000,1,1
34753956,270000,1000,1,1
26595132,270000,1000,1,1
990757174,270000,1000,1,1
131237150,270000,1000,1,1
79450247,270000,1000,1,1
51448203,270000,1000,1,1
35626368,270000,1000,1,1
23152067,270000,1000,1,1
683423153,270000,1000,2,2
90400394,270000,1000,2,2
58817910,270000,1000,2,2
41304148,270000,1000,2,2
26751455,270000,1000,2,2
16954391,270000,1000,2,2
70229132,10000,2500,1,1
47694464,10000,2500,1,1
36044415,10000,2500,1,1
12590359,10000,2500,1,1
8927021,10000,2500,1,1
6457030,10000,2500,1,1
51405175,10000,2500,1,1
31118645,10000,2500,1,1
19787953,10000,2500,1,1
12119416,10000,2500,1,1
8443049,10000,2500,1,1
6539534,10000,2500,1,1
36583652,10000,2500,2,2
26557235,10000,2500,2,2
13694888,10000,2500,2,2
12609308,10000,2500,2,2
8889519,10000,2500,2,2
6456240,10000,2500,2,2
177323773,30000,2500,1,1
93470019,30000,2500,1,1
59463336,30000,2500,1,1
36293900,30000,2500,1,1
20444432,30000,2500,1,1
13003670,30000,2500,1,1
150280988,30000,2500,1,1
77557784,30000,2500,1,1
47568538,30000,2500,1,1
28922221,30000,2500,1,1
17895490,30000,2500,1,1
11809532,30000,2500,1,1
110700345,30000,2500,2,2
52660895,30000,2500,2,2
36849323,30000,2500,2,2
23470241,30000,2500,2,2
13790025,30000,2500,2,2
12012831,30000,2500,2,2
344307692,90000,2500,1,1
108361413,90000,2500,1,1
68748401,90000,2500,1,1
42171823,90000,2500,1,1
25322832,90000,2500,1,1
16800831,90000,2500,1,1
289147199,90000,2500,1,1
108387468,90000,2500,1,1
66300123,90000,2500,1,1
44794190,90000,2500,1,1
25509551,90000,2500,1,1
16282516,90000,2500,1,1
248169120,90000,2500,2,2
89230730,90000,2500,2,2
46253210,90000,2500,2,2
31708016,90000,2500,2,2
21530013,90000,2500,2,2
12051518,90000,2500,2,2
733156141,270000,2500,1,1
122404082,270000,2500,1,1
76868934,270000,2500,1,1
50112348,270000,2500,1,1
33362835,270000,2500,1,1
18496310,270000,2500,1,1
796823632,270000,2500,1,1
122233548,270000,2500,1,1
77926881,270000,2500,1,1
49378101,270000,2500,1,1
30377687,270000,2500,1,1
18919489,270000,2500,1,1
598529611,270000,2500,2,2
92541157,270000,2500,2,2
58136955,270000,2500,2,2
36021519,270000,2500,2,2
24204881,270000,2500,2,2
14455584,270000,2500,2,2
80867027,10000,7500,1,1
25834436,10000,7500,1,1
10409331,10000,7500,1,1
8074347,10000,7500,1,1
5724757,10000,7500,1,1
4141389,10000,7500,1,1
30753101,10000,7500,1,1
25068609,10000,7500,1,1
10714082,10000,7500,1,1
7241411,10000,7500,1,1
5509220,10000,7500,1,1
4497854,10000,7500,1,1
59774405,10000,7500,2,2
33105453,10000,7500,2,2
19217135,10000,7500,2,2
12721419,10000,7500,2,2
8989392,10000,7500,2,2
6218202,10000,7500,2,2
145541937,30000,7500,1,1
70222026,30000,7500,1,1
42334463,30000,7500,1,1
27180950,30000,7500,1,1
19145289,30000,7500,1,1
12459696,30000,7500,1,1
147525983,30000,7500,1,1
67054502,30000,7500,1,1
42114583,30000,7500,1,1
27383855,30000,7500,1,1
17889964,30000,7500,1,1
13341186,30000,7500,1,1
122217362,30000,7500,2,2
47597750,30000,7500,2,2
30677702,30000,7500,2,2
28971170,30000,7500,2,2
17919571,30000,7500,2,2
12608519,30000,7500,2,2
330757680,90000,7500,1,1
104044358,90000,7500,1,1
64365421,90000,7500,1,1
38232155,90000,7500,1,1
25014132,90000,7500,1,1
16095006,90000,7500,1,1
298864128,90000,7500,1,1
