time_ns,n,partition_ancestors,node1_consumers,node2_consumers
41028129571,2500000,2,1,0
36224960386,2500000,2,1,0
34537415828,2500000,2,1,0
35049147996,2500000,2,1,0
35658290325,2500000,2,1,0
35324190374,2500000,2,1,0
31106072305,2500000,2,0,1
27962648517,2500000,2,0,1
26191871092,2500000,2,0,1
29069842721,2500000,2,0,1
25900458549,2500000,2,0,1
25800215616,2500000,2,0,1
32599566715,2500000,2,1,1
29033508527,2500000,2,1,1
32059785899,2500000,2,1,1
29163430451,2500000,2,1,1
31942440923,2500000,2,1,1
26553446897,2500000,2,1,1
31642201621,2500000,2,1,1
28866006555,2500000,2,1,1
32250400086,2500000,2,1,1
25170045784,2500000,2,1,1
32981474858,2500000,2,1,1
26449127706,2500000,2,1,1
14449734052,1250000,2,1,0
15795086543,1250000,2,1,0
14789712325,1250000,2,1,0
15241626224,1250000,2,1,0
15403957278,1250000,2,1,0
14680919357,1250000,2,1,0
12221835097,1250000,2,0,1
11784649966,1250000,2,0,1
12011166482,1250000,2,0,1
12786559798,1250000,2,0,1
11890172769,1250000,2,0,1
11993293084,1250000,2,0,1
15624754165,1250000,2,1,1
11710994289,1250000,2,1,1
14482762554,1250000,2,1,1
12721279675,1250000,2,1,1
15009339154,1250000,2,1,1
12067986576,1250000,2,1,1
15135536944,1250000,2,1,1
11853240518,1250000,2,1,1
14820917841,1250000,2,1,1
11273820605,1250000,2,1,1
15680814351,1250000,2,1,1
11719927239,1250000,2,1,1
2778442811,250000,2,1,0
2815136234,250000,2,1,0
2697631381,250000,2,1,0
2866607375,250000,2,1,0
2832818571,250000,2,1,0
2707131200,250000,2,1,0
2233941100,250000,2,0,1
2279169954,250000,2,0,1
2467284540,250000,2,0,1
2180641448,250000,2,0,1
2176042532,250000,2,0,1
2147316878,250000,2,0,1
2746226718,250000,2,1,1
2161479170,250000,2,1,1
2659962119,250000,2,1,1
2125938436,250000,2,1,1
2900206695,250000,2,1,1
2232333652,250000,2,1,1
3017431666,250000,2,1,1
2165788728,250000,2,1,1
2841079249,250000,2,1,1
2217249209,250000,2,1,1
2848636076,250000,2,1,1
2006593227,250000,2,1,1
696571460,50000,2,1,0
677259567,50000,2,1,0
684787972,50000,2,1,0
690274300,50000,2,1,0
631606352,50000,2,1,0
689382545,50000,2,1,0
450528698,50000,2,0,1
467394677,50000,2,0,1
446397175,50000,2,0,1
483164417,50000,2,0,1
513396068,50000,2,0,1
462254155,50000,2,0,1
667197614,50000,2,1,1
493529148,50000,2,1,1
620161171,50000,2,1,1
465466290,50000,2,1,1
605220815,50000,2,1,1
461201339,50000,2,1,1
606491537,50000,2,1,1
524348198,50000,2,1,1
573762260,50000,2,1,1
437401065,50000,2,1,1
731986266,50000,2,1,1
460512094,50000,2,1,1
30756074713,2500000,3,1,0
32615888719,2500000,3,1,0
32024087658,2500000,3,1,0
33004964461,2500000,3,1,0
33686776362,2500000,3,1,0
32837713553,2500000,3,1,0
24627618520,2500000,3,0,1
26775279626,2500000,3,0,1
25721336125,2500000,3,0,1
24984722127,2500000,3,0,1
24182277320,2500000,3,0,1
29551188889,2500000,3,0,1
31278003842,2500000,3,1,1
24882325401,2500000,3,1,1
32223599660,2500000,3,1,1
27525732609,2500000,3,1,1
32618995850,2500000,3,1,1
25899466525,2500000,3,1,1
31299257937,2500000,3,1,1
27738849505,2500000,3,1,1
31889903940,2500000,3,1,1
28138705656,2500000,3,1,1
32367361360,2500000,3,1,1
27122275882,2500000,3,1,1
14510434209,1250000,3,1,0
15980502178,1250000,3,1,0
14567679060,1250000,3,1,0
15743646588,1250000,3,1,0
14440325421,1250000,3,1,0
14893695183,1250000,3,1,0
12010637509,1250000,3,0,1
11802221375,1250000,3,0,1
11971222632,1250000,3,0,1
13161435351,1250000,3,0,1
11694932035,1250000,3,0,1
11704711342,1250000,3,0,1
15802631133,1250000,3,1,1
11811592109,1250000,3,1,1
14644341203,1250000,3,1,1
11966376599,1250000,3,1,1
14469613999,1250000,3,1,1
11995417665,1250000,3,1,1
14970131525,1250000,3,1,1
12975704700,1250000,3,1,1
14756329332,1250000,3,1,1
11727684207,1250000,3,1,1
15672798422,1250000,3,1,1
11988522055,1250000,3,1,1
2887483687,250000,3,1,0
2819007218,250000,3,1,0
2799036873,250000,3,1,0
2824951464,250000,3,1,0
2916201840,250000,3,1,0
2864480030,250000,3,1,0
2156153507,250000,3,0,1
2279006524,250000,3,0,1
2103049258,250000,3,0,1
2239247025,250000,3,0,1
2266600111,250000,3,0,1
2368895779,250000,3,0,1
2680548286,250000,3,1,1
2329870133,250000,3,1,1
2820355313,250000,3,1,1
2247394803,250000,3,1,1
2786616248,250000,3,1,1
2264705279,250000,3,1,1
2714684474,250000,3,1,1
2176824545,250000,3,1,1
2878810488,250000,3,1,1
2192049917,250000,3,1,1
2810332046,250000,3,1,1
2196079593,250000,3,1,1
728636755,50000,3,1,0
644908862,50000,3,1,0
619572983,50000,3,1,0
626967566,50000,3,1,0
708319418,50000,3,1,0
641590933,50000,3,1,0
483088229,50000,3,0,1
430631777,50000,3,0,1
499045478,50000,3,0,1
511083584,50000,3,0,1
505408167,50000,3,0,1
491546680,50000,3,0,1
685547089,50000,3,1,1
505381718,50000,3,1,1
670427119,50000,3,1,1
476369865,50000,3,1,1
595986667,50000,3,1,1
500607530,50000,3,1,1
595061357,50000,3,1,1
488868256,50000,3,1,1
649278030,50000,3,1,1
494094835,50000,3,1,1
636227768,50000,3,1,1
491390752,50000,3,1,1
31574127015,2500000,4,1,0
32542316732,2500000,4,1,0
31862574935,2500000,4,1,0
32324532628,2500000,4,1,0
31431324574,2500000,4,1,0
33793197237,2500000,4,1,0
26797921290,2500000,4,0,1
28208649829,2500000,4,0,1
24140489956,2500000,4,0,1
25538746553,2500000,4,0,1
28825442542,2500000,4,0,1
25228885847,2500000,4,0,1
